rowid;kepid;kepoi_name;kepler_name;koi_disposition;koi_pdisposition;koi_score;koi_fpflag_nt;koi_fpflag_ss;koi_fpflag_co;koi_fpflag_ec;koi_period;koi_period_err1;koi_period_err2;koi_time0bk;koi_time0bk_err1;koi_time0bk_err2;koi_impact;koi_impact_err1;koi_impact_err2;koi_duration;koi_duration_err1;koi_duration_err2;koi_depth;koi_depth_err1;koi_depth_err2;koi_prad;koi_prad_err1;koi_prad_err2;koi_teq;koi_teq_err1;koi_teq_err2;koi_insol;koi_insol_err1;koi_insol_err2;koi_model_snr;koi_tce_plnt_num;koi_tce_delivname;koi_steff;koi_steff_err1;koi_steff_err2;koi_slogg;koi_slogg_err1;koi_slogg_err2;koi_srad;koi_srad_err1;koi_srad_err2;ra;dec;koi_kepmag
1;10797460;K00752.01;Kepler-227 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;9488035570;277,5;-277,5;1705387500;2160;-2160;1460;3180;-1460;295750;8190;-8190;6158000;19500;-19500;226;260;-150;7930;;;9359;2945;-1665;3580;1;q1_q17_dr25_tce;545500;8100;-8100;4467;64;-96;9270;1050;-610;291934230;48141651;15347
2;10797460;K00752.02;Kepler-227 c;CONFIRMED;CANDIDATE;9690;0;0;0;0;54418382700;2479;-2479;1625138400;3520;-3520;5860;590;-4430;450700;11600;-11600;8748000;35500;-35500;283;320;-190;4430;;;911;287;-162;2580;2;q1_q17_dr25_tce;545500;8100;-8100;4467;64;-96;9270;1050;-610;291934230;48141651;15347
5;10854555;K00755.01;Kepler-664 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;2525591777;37,61;-37,61;1715955500;1130;-1130;7010;2350;-4780;165450;4200;-4200;6033000;16900;-16900;275;880;-350;14060;;;92616;87433;-31424;4090;1;q1_q17_dr25_tce;603100;16900;-21100;4438;70;-210;10460;3340;-1330;288754880;48226200;15509
6;10872983;K00756.01;Kepler-228 d;CONFIRMED;CANDIDATE;10000;0;0;0;0;11094320540;203,6;-203,6;1712011600;1410;-1410;5380;300;-4280;459450;6100;-6100;15175000;24200;-24200;390;1270;-420;8350;;;11481;11285;-3670;6650;1;q1_q17_dr25_tce;604600;18900;-23200;4486;54;-229;9720;3150;-1050;296286130;48224670;15714
7;10872983;K00756.02;Kepler-228 c;CONFIRMED;CANDIDATE;10000;0;0;0;0;4134435120;104,6;-104,6;1729793700;1900;-1900;7620;1390;-5320;314020;6730;-6730;6860000;18700;-18700;277;900;-300;11600;;;42765;42033;-13670;4020;2;q1_q17_dr25_tce;604600;18900;-23200;4486;54;-229;9720;3150;-1050;296286130;48224670;15714
8;10872983;K00756.03;Kepler-228 b;CONFIRMED;CANDIDATE;9920;0;0;0;0;2566588970;178,1;-178,1;1795543700;4610;-4610;7550;2120;-5230;242900;16500;-16500;2265000;16800;-16800;159;520;-170;13600;;;80774;79391;-25820;1500;3;q1_q17_dr25_tce;604600;18900;-23200;4486;54;-229;9720;3150;-1050;296286130;48224670;15714
10;10910878;K00757.01;Kepler-229 c;CONFIRMED;CANDIDATE;10000;0;0;0;0;16068646740;108,8;-108,8;1736219370;517;-517;520;2620;-520;353470;2410;-2410;49143000;33300;-33300;576;220;-490;6000;;;3075;446;-666;16190;1;q1_q17_dr25_tce;503100;7500;-8300;4485;83;-28;8480;330;-720;286999480;48375790;15841
11;11446443;K00001.01;Kepler-1 b;CONFIRMED;CANDIDATE;8110;0;0;0;0;2470613377;0,27;-0,27;1227633050;8,7;-8,7;8180;10;-10;174319;107;-107;142310000;4200;-4200;1304;510;-510;13390;;;76146;10621;-9576;430430;1;q1_q17_dr25_tce;582000;7800;-7800;4457;24;-24;9640;380;-380;286808470;49316399;11338
12;10666592;K00002.01;Kepler-2 b;CONFIRMED;CANDIDATE;10000;0;1;0;0;2204735417;0,43;-0,43;1213585417;16;-16;2240;1590;-2160;388864;203;-203;66747000;1700;-1700;1610;810;-910;20480;;;414892;65159;-65446;594590;1;q1_q17_dr25_tce;644000;7600;-8900;4019;33;-27;19520;990;-1100;292247280;47969521;10463
13;6922244;K00010.01;Kepler-8 b;CONFIRMED;CANDIDATE;9980;0;0;0;0;3522498429;1,98;-1,98;1211194228;47,1;-47,1;6310;70;-70;319843;653;-653;91457000;6600;-6600;1459;1110;-1110;15210;;;126467;30723;-27648;174150;1;q1_q17_dr25_tce;622500;11200;-13700;4169;55;-45;14510;1100;-1100;281288120;42451080;13563
14;10984090;K00112.02;Kepler-466 c;CONFIRMED;CANDIDATE;10000;0;0;0;0;3709214104;65,36;-65,36;1339831800;1430;-1430;510;3950;-510;263020;4270;-4270;1311000;3000;-3000;116;170;-120;12060;;;50046;19796;-13054;5060;2;q1_q17_dr25_tce;583300;10500;-11700;4407;85;-114;10220;1430;-1070;295648710;48495560;12772
19;10526549;K00746.01;Kepler-660 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;9273581730;103,7;-103,7;1732581550;877;-877;3870;40;-3860;328750;3090;-3090;12883000;16800;-16800;247;200;-240;6490;;;4185;1249;-1170;8720;1;q1_q17_dr25_tce;485600;13100;-14600;4583;65;-35;6960;560;-680;288138240;47724449;15302
20;10583066;K00747.01;Kepler-661 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;6029303290;55,09;-55,09;1716029590;713;-713;2580;1960;-2580;158210;3110;-3110;19127000;34400;-34400;285;260;-150;6780;;;5004;1640;-988;6540;1;q1_q17_dr25_tce;453700;12300;-12300;4648;20;-56;6720;620;-360;283710880;47863270;15784
22;10601284;K00749.01;Kepler-226 c;CONFIRMED;CANDIDATE;10000;0;0;0;0;5349553819;88,34;-88,34;1718069400;1270;-1270;920;3690;-920;302780;4710;-4710;8310000;14800;-14800;255;160;-240;9190;;;16899;3466;-3848;6060;1;q1_q17_dr25_tce;518500;8500;-7700;4440;98;-45;9100;570;-860;292376130;47880989;15416
23;10601284;K00749.02;Kepler-226 b;CONFIRMED;CANDIDATE;9800;0;0;0;0;3941052210;109,4;-109,4;1360866200;2330;-2330;2260;2430;-2260;259840;7370;-7370;3633000;13900;-13900;170;110;-160;10180;;;25315;5191;-5765;2890;2;q1_q17_dr25_tce;518500;8500;-7700;4440;98;-45;9100;570;-860;292376130;47880989;15416
24;10601284;K00749.03;Kepler-226 d;CONFIRMED;CANDIDATE;9710;0;0;0;0;8109048070;678,7;-678,7;1328031000;7160;-7160;250;4250;-250;359600;19800;-19800;2174000;16800;-16800;130;90;-120;8000;;;9703;1990;-2209;1410;3;q1_q17_dr25_tce;518500;8500;-7700;4440;98;-45;9100;570;-860;292376130;47880989;15416
26;10662202;K00750.01;Kepler-662 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;21676991930;701;-701;1715359400;2580;-2580;8960;100;-6630;345550;6560;-6560;8572000;27100;-27100;295;120;-230;5300;;;1864;278;-380;3430;1;q1_q17_dr25_tce;495400;7900;-7900;4500;75;-20;8280;320;-650;290465120;47929180;15377
27;10682541;K00751.01;Kepler-663 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;4996779680;138,9;-138,9;1717420800;2190;-2190;7100;60;-5330;217170;7620;-7620;9347000;39700;-39700;278;520;-230;9170;;;16695;10206;-4214;2820;1;q1_q17_dr25_tce;533900;17500;-15900;4552;34;-136;8470;1610;-690;297808260;47946671;15861
28;11460018;K00769.01;Kepler-671 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;4280963604;61,41;-61,41;1718965900;1150;-1150;4240;1120;-3560;287500;4200;-4200;7508000;14100;-14100;230;580;-190;10120;;;24787;18224;-6332;6180;1;q1_q17_dr25_tce;564400;15200;-16900;4564;32;-168;8310;2070;-690;294265810;49314091;15356
32;11507101;K00773.01;Kepler-672 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;38377548600;1602;-1602;1728204800;3380;-3380;4680;4610;-2670;558800;11300;-11300;7242000;23400;-23400;282;370;-340;5290;;;1853;672;-493;3470;1;q1_q17_dr25_tce;548100;8200;-7400;4369;121;-99;10360;1380;-1240;291722020;49480869;15172
33;10910878;K00757.02;Kepler-229 d;CONFIRMED;CANDIDATE;9920;0;0;0;0;41197255020;934,5;-934,5;1650040400;1710;-1710;450;3370;-450;462970;6330;-6330;22139000;45500;-45500;386;150;-330;4390;;;876;127;-190;5120;2;q1_q17_dr25_tce;503100;7500;-8300;4485;83;-28;8480;330;-720;286999480;48375790;15841
34;10910878;K00757.03;Kepler-229 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;6252962249;95,77;-95,77;1713012600;1170;-1170;1050;3290;-1050;258190;4260;-4260;10369000;24500;-24500;265;100;-230;8230;;;10830;1573;-2344;4710;3;q1_q17_dr25_tce;503100;7500;-8300;4485;83;-28;8480;330;-720;286999480;48375790;15841
35;10987985;K00758.01;Kepler-665 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;16013084190;485,4;-485,4;1763608000;2430;-2430;7990;970;-5510;325540;7910;-7910;11219000;39400;-39400;310;340;-310;5930;;;2931;1177;-824;3320;1;q1_q17_dr25_tce;501500;16400;-14900;4499;92;-115;8260;910;-820;297025630;48478588;15390
36;11018648;K00759.01;Kepler-230 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;32628766720;580,1;-580,1;1941019000;1380;-1380;210;4020;-210;479710;5800;-5800;18048000;25400;-25400;336;760;-330;5060;;;1555;1051;-418;8000;1;q1_q17_dr25_tce;558600;15200;-15200;4560;50;-150;7980;1810;-770;285718540;48505859;15082
37;11018648;K00759.02;Kepler-230 c;CONFIRMED;CANDIDATE;9780;0;0;0;0;91773286200;7518;-7518;1938378000;6430;-6430;6060;3350;-4000;647300;20400;-20400;6520000;36200;-36200;212;480;-210;3590;;;392;264;-106;1910;2;q1_q17_dr25_tce;558600;15200;-15200;4560;50;-150;7980;1810;-770;285718540;48505859;15082
40;11153539;K00762.01;Kepler-666 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;4498765110;177,7;-177,7;1713490500;3000;-3000;3120;1540;-3120;373620;9340;-9340;4600000;17500;-17500;210;650;-220;11330;;;38962;36571;-11740;2950;1;q1_q17_dr25_tce;607500;18900;-21000;4486;52;-208;9690;3000;-1000;298456850;48791592;15395
42;9579641;K00115.01;Kepler-105 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;5412203927;30,52;-30,52;1331430890;468;-468;7870;50;-5650;294720;2400;-2400;6016000;4000;-4000;294;430;-380;10930;;;33768;13729;-10218;16670;1;q1_q17_dr25_tce;577900;10400;-11500;4339;132;-108;10870;1570;-1420;287887330;46276241;12791
43;11304958;K00764.01;Kepler-667 b;CONFIRMED;CANDIDATE;9980;0;0;0;0;41439586620;755,7;-755,7;2089320300;1420;-1420;3550;400;-3550;1059890;8800;-8800;27931000;22600;-22600;550;1570;-960;5160;;;1672;1466;-664;14110;1;q1_q17_dr25_tce;546800;18000;-16400;4367;153;-187;10460;2970;-1830;295555050;49017342;15400
44;11391957;K00765.01;Kepler-668 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;8353895230;152,4;-152,4;1716325700;1330;-1330;230;4230;-230;225140;5180;-5180;10416000;28200;-28200;252;540;-240;7900;;;9190;5906;-2415;4340;1;q1_q17_dr25_tce;559200;15200;-15200;4582;36;-144;7870;1690;-730;285499240;49277351;15317
45;11403044;K00766.01;Kepler-669 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;4125543472;31,33;-31,33;1697525850;613;-613;5970;2350;-3670;317440;3620;-3620;14873000;13300;-13300;443;1440;-510;12430;;;56535;54247;-18814;12860;1;q1_q17_dr25_tce;617400;17300;-23900;4417;56;-210;11030;3580;-1280;291936160;49253979;15506
46;11414511;K00767.01;Kepler-670 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;2816504904;1,65;-1,65;1709676846;46,6;-46,6;1050;2640;-1190;250587;666;-666;168140000;11000;-11000;1221;1620;-870;12190;;;52113;18434;-9795;140680;1;q1_q17_dr25_tce;553200;7400;-8300;4452;63;-108;9550;1270;-680;297015470;49225288;15052
48;12110942;K00786.01;Kepler-680 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;3689920099;89,82;-89,82;1703657100;1910;-1910;1510;3040;-1510;265570;6770;-6770;4267000;13800;-13800;189;540;-200;11470;;;40899;34224;-12332;3560;1;q1_q17_dr25_tce;588000;15700;-19200;4518;46;-196;9170;2620;-980;291622410;50618240;15242
49;12366084;K00787.01;Kepler-232 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;4431238488;61,06;-61,06;1710150000;1110;-1110;4050;410;-4050;315000;4230;-4230;10109000;15200;-15200;325;470;-250;11040;;;35123;13526;-6833;7110;1;q1_q17_dr25_tce;571400;7700;-7700;4428;63;-117;10150;1480;-790;295816160;51121738;15367
50;12366084;K00787.02;Kepler-232 c;CONFIRMED;CANDIDATE;10000;0;0;0;0;11379369860;241,5;-241,5;1338499200;1830;-1830;9110;90;-6560;262550;7300;-7300;10235000;29700;-29700;395;570;-310;8060;;;9968;3838;-1939;3790;2;q1_q17_dr25_tce;571400;7700;-7700;4428;63;-117;10150;1480;-790;295816160;51121738;15367
51;12404086;K00788.01;Kepler-681 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;26394328970;572,4;-572,4;1760545900;1760;-1760;6020;2500;-3960;357300;6430;-6430;15109000;36300;-36300;307;410;-220;4890;;;1349;607;-321;4820;1;q1_q17_dr25_tce;512900;15400;-15400;4595;30;-84;7630;1030;-550;289399720;51250320;15234
52;8395660;K00116.01;Kepler-106 c;CONFIRMED;CANDIDATE;10000;0;0;0;0;13570782810;158,5;-158,5;1362791940;957;-957;8660;150;-6210;335390;4890;-4890;5117000;6300;-6300;264;400;-270;7850;;;8961;3812;-2292;8840;1;q1_q17_dr25_tce;585400;10500;-11700;4406;90;-110;10120;1540;-1030;300863980;44337551;12882
53;9579641;K00115.02;Kepler-105 c;CONFIRMED;CANDIDATE;10000;0;0;0;0;7125943870;140,6;-140,6;1390049200;1590;-1590;8980;130;-6990;300140;3840;-3840;1924000;4400;-4400;179;260;-230;9970;;;23331;9486;-7060;4710;2;q1_q17_dr25_tce;577900;10400;-11500;4339;132;-108;10870;1570;-1420;287887330;46276241;12791
