rowid;kepid;kepoi_name;kepler_name;koi_disposition;koi_pdisposition;koi_score;koi_fpflag_nt;koi_fpflag_ss;koi_fpflag_co;koi_fpflag_ec;koi_period;koi_period_err1;koi_period_err2;koi_time0bk;koi_time0bk_err1;koi_time0bk_err2;koi_impact;koi_impact_err1;koi_impact_err2;koi_duration;koi_duration_err1;koi_duration_err2;koi_depth;koi_depth_err1;koi_depth_err2;koi_prad;koi_prad_err1;koi_prad_err2;koi_teq;koi_teq_err1;koi_teq_err2;koi_insol;koi_insol_err1;koi_insol_err2;koi_model_snr;koi_tce_plnt_num;koi_tce_delivname;koi_steff;koi_steff_err1;koi_steff_err2;koi_slogg;koi_slogg_err1;koi_slogg_err2;koi_srad;koi_srad_err1;koi_srad_err2;ra;dec;koi_kepmag
3;10811496;K00753.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;19899139950;149,4;-149,4;1758502520;581;-581;9690;51260;-770;178220;3410;-3410;108290000;171000;-171000;1460;3920;-1310;6380;;;3930;3104;-1049;7630;1;q1_q17_dr25_tce;585300;15800;-17600;4544;44;-176;8680;2330;-780;297004820;48134129;15436
4;10848459;K00754.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;1736952453;2,63;-2,63;1703075650;115;-115;12760;1150;-920;240641;537;-537;80792000;12800;-12800;3346;8500;-2830;13950;;;89196;66895;-23035;50560;1;q1_q17_dr25_tce;580500;15700;-17400;4564;53;-168;7910;2010;-670;285534610;48285210;15597
9;6721123;K00114.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;0;7361789580;212,8;-212,8;1322505300;2530;-2530;11690;71330;-440;502200;13600;-13600;2337000;5800;-5800;3921;6450;-9670;13420;;;76722;34928;-36549;4770;1;q1_q17_dr25_tce;622700;11100;-12400;3986;182;-98;19580;3220;-4830;298864350;42151569;12660
15;10419211;K00742.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;11521446064;19,8;-19,8;1708396880;131;-131;24830;28510;-6730;363990;1140;-1140;179840000;31900;-31900;15051;39760;-13310;7530;;;7588;5889;-1999;62210;1;q1_q17_dr25_tce;579500;15500;-17200;4554;33;-176;8480;2240;-750;297079930;47597401;15472
16;10464078;K00743.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;19403937760;206,8;-206,8;1724842530;842;-842;8040;70;-50;1221550;5980;-5980;89187000;53300;-53300;718;760;-680;5230;;;1769;666;-488;21470;1;q1_q17_dr25_tce;504300;15100;-15100;4591;72;-48;6800;720;-650;289258210;47635319;15487
17;10480982;K00744.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;19221388942;11,23;-11,23;1845521637;45;-45;10650;310;-340;479843;235;-235;742840000;21900;-21900;4929;16030;-5000;6980;;;5597;5455;-1640;231700;1;q1_q17_dr25_tce;611700;18200;-20000;4496;52;-208;9470;3080;-960;295814540;47690350;15341
18;10485250;K00745.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;16469837740;136,1;-136,1;1808817610;623;-623;2920;1180;-1010;943780;6000;-6000;104790000;39900;-39900;794;890;-890;5950;;;2961;1201;-891;30340;1;q1_q17_dr25_tce;515200;16800;-15300;4517;88;-72;7860;880;-880;297154420;47668701;15788
21;10583180;K00748.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;1;2696370652;75,34;-75,34;1707376900;2340;-2340;440;3600;-440;361290;6860;-6860;3979000;9500;-9500;158;130;-160;10660;;;30534;9664;-8633;4820;1;q1_q17_dr25_tce;498900;14900;-14900;4504;90;-60;8190;670;-820;283765470;47804298;15269
25;2306756;K00113.01;;FALSE POSITIVE;FALSE POSITIVE;;0;1;0;0;3,86603E+11;1369;-1369;1663420790;299;-299;9765;497;-268;680570;1840;-1840;249270000;45800;-45800;4150;1680;-1680;2970;;;184;26;-24;99400;1;q1_q16_tce;554300;7900;-7900;4081;14;-14;15800;640;-640;292273740;37671558;12394
29;11463211;K00770.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;0;1;0;1506354090;4,7;-4,7;1709980640;246;-246;8600;420;-1250;151550;4830;-4830;22117000;18300;-18300;453;1010;-440;14520;;;105412;70310;-29226;18110;1;q1_q17_dr25_tce;571400;15500;-17200;4563;40;-160;8310;1860;-800;295665220;49351009;15525
30;11465813;K00771.01;;FALSE POSITIVE;FALSE POSITIVE;0;1;0;0;0;6,70646E+11;12370;-12370;2090435500;1570;-1570;7010;40;-50;5341200;13100;-13100;180910000;33500;-33500;1414;2130;-710;1960;;;35;15;-6;64270;1;q1_q17_dr25_tce;552000;10000;-11100;4466;32;-120;9830;1480;-490;296698610;49316479;15207
31;11493732;K00772.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;61256362800;1560;-1560;1738382600;2090;-2090;12480;69120;-670;763300;10500;-10500;51233000;70600;-70600;3987;12790;-5480;5050;;;1543;1485;-551;8530;1;q1_q17_dr25_tce;614400;18400;-22000;4402;72;-217;10910;3500;-1500;283725920;49479519;15250
39;11152159;K00761.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;0;2701287801;56,34;-56,34;1706957900;1640;-1640;10160;39670;-590;338270;8920;-8920;8604000;20900;-20900;654;1640;-750;12220;;;52781;41133;-16635;4830;1;q1_q17_dr25_tce;555000;18200;-18200;4468;91;-169;9100;2280;-1050;297923650;48777321;15540
41;11242721;K00763.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;19651209505;58,62;-58,62;1794019810;249;-249;7230;100;-200;525140;1790;-1790;117660000;27700;-27700;1242;3920;-1690;7300;;;6703;6246;-2351;51340;1;q1_q17_dr25_tce;607400;16800;-21000;4391;90;-210;10630;3360;-1440;291093900;48933842;15536
47;11442465;K00768.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;0;33933734470;615,4;-615,4;1866760800;1370;-1370;8120;60;-90;1456100;10400;-10400;85037000;44300;-44300;734;900;-600;4300;;;811;325;-206;23610;1;q1_q17_dr25_tce;504000;13600;-15100;4628;30;-70;7050;860;-580;284172330;49360722;15716
54;11656840;K00774.01;;FALSE POSITIVE;FALSE POSITIVE;140;0;1;0;0;7442652004;7,02;-7,02;1699717797;73,2;-73,2;1370;3460;-2240;230780;1290;-1290;244460000;37800;-37800;1503;4730;-1580;9670;;;20678;19552;-6176;83560;1;q1_q17_dr25_tce;610800;18300;-20100;4469;70;-210;9560;3010;-1000;288986820;49733742;15270
61;11909839;K00779.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;10405998015;25,15;-25,15;1771974660;190;-190;3240;610;-750;650360;1450;-1450;144890000;22400;-22400;1123;2920;-1950;8330;;;11394;9001;-4501;74520;1;q1_q17_dr25_tce;574600;17300;-17300;4393;180;-198;9240;2410;-1600;289235530;50241001;15562
72;3120431;K00798.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;0;3341913228;99,53;-99,53;1716394300;2470;-2470;12130;112800;-1410;381300;12000;-12000;7253000;21300;-21300;2155;3540;-1890;10320;;;26867;14591;-7067;3900;1;q1_q17_dr25_tce;529500;17500;-15900;4551;49;-105;8110;1330;-710;292315950;38270290;15629
76;12459725;K00789.01;;FALSE POSITIVE;FALSE POSITIVE;;0;0;0;1;14179818700;1643;-1643;1715023700;7600;-7600;1601;2975;-1600;250500;31500;-31500;4599000;51900;-51900;188;710;-140;7110;;;6035;6775;-1434;1120;;;579900;16100;-16800;4539;27;-275;8780;3330;-650;291044800;51321671;15727
80;2440757;K00792.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;1433769925;7,41;-7,41;1704035360;397;-397;12680;56520;-1230;188680;2320;-2320;19763000;20400;-20400;4658;8010;-8000;19200;;;320929;141194;-113662;11260;1;q1_q17_dr25_tce;601700;7200;-9000;4220;156;-117;13390;2300;-2300;290843690;37728828;15122
81;2445129;K00793.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;0;10318723010;284,6;-284,6;1733154300;2240;-2240;12150;595200;-4630;383600;12100;-12100;8717000;26400;-26400;2859;8610;-3690;8760;;;13926;12569;-4677;3820;1;q1_q17_dr25_tce;592700;17600;-19300;4409;84;-196;10600;3190;-1370;291848910;37713501;15065
84;3114661;K00796.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;1;444291966;0,97;-0,97;1698654060;169;-169;12580;3340;-1410;207920;1150;-1150;109670000;45900;-45900;2751;3460;-1730;18360;;;270626;114942;-59958;29970;1;q1_q17_dr25_tce;525500;15600;-15600;4678;28;-83;6360;800;-400;290996890;38284920;15748
94;3554600;K00803.01;;FALSE POSITIVE;FALSE POSITIVE;0;1;0;1;0;7544039000;1023;-1023;1717982000;10500;-10500;11750;336300;-9110;622200;73100;-73100;3226000;28200;-28200;1747;4120;-1650;8380;;;11646;8118;-3191;1420;2;q1_q17_dr25_tce;565700;15200;-16900;4567;38;-152;8240;1940;-780;293941160;38601101;15559
